Short-term NZ traveller departure totals (Monthly),,,,
,Actual Counts,Seasonally Adjusted,Trend,Counts Derived from a Sample
1921M04,1929,..,..,1929
1921M05,1473,..,..,1473
1921M06,1437,..,..,1437
1921M07,1043,..,..,1043
1921M08,919,..,..,919
1921M09,846,..,..,846
1921M10,885,..,..,885
1921M11,689,..,..,689
1921M12,885,..,..,885
1922M01,503,..,..,503
1922M02,878,..,..,878
1922M03,1417,..,..,1417
1922M04,1685,..,..,1685
1922M05,1204,..,..,1204
1922M06,1324,..,..,1324
1922M07,820,..,..,820
1922M08,1096,..,..,1096
1922M09,1030,..,..,1030
1922M10,807,..,..,807
1922M11,410,..,..,410
1922M12,1006,..,..,1006
1923M01,714,..,..,714
1923M02,1072,..,..,1072
1923M03,1610,..,..,1610
1923M04,1631,..,..,1631
1923M05,1399,..,..,1399
1923M06,1631,..,..,1631
1923M07,1090,..,..,1090
1923M08,1044,..,..,1044
1923M09,939,..,..,939
1923M10,994,..,..,994
1923M11,871,..,..,871
1923M12,1109,..,..,1109
1924M01,707,..,..,707
1924M02,1322,..,..,1322
1924M03,1959,..,..,1959
1924M04,1861,..,..,1861
1924M05,1695,..,..,1695
1924M06,1572,..,..,1572
1924M07,1281,..,..,1281
1924M08,932,..,..,932
1924M09,1007,..,..,1007
1924M10,806,..,..,806
1924M11,685,..,..,685
1924M12,1179,..,..,1179
1925M01,767,..,..,767
1925M02,1184,..,..,1184
1925M03,1577,..,..,1577
1925M04,1798,..,..,1798
1925M05,1866,..,..,1866
1925M06,1273,..,..,1273
1925M07,1045,..,..,1045
1925M08,887,..,..,887
1925M09,834,..,..,834
1925M10,847,..,..,847
1925M11,587,..,..,587
1925M12,1093,..,..,1093
1926M01,853,..,..,853
1926M02,1127,..,..,1127
1926M03,1805,..,..,1805
1926M04,2193,..,..,2193
1926M05,1246,..,..,1246
1926M06,1375,..,..,1375
1926M07,1321,..,..,1321
1926M08,1058,..,..,1058
1926M09,944,..,..,944
1926M10,1073,..,..,1073
1926M11,754,..,..,754
1926M12,1408,..,..,1408
1927M01,887,..,..,887
1927M02,1158,..,..,1158
1927M03,1681,..,..,1681
1927M04,2387,..,..,2387
1927M05,1662,..,..,1662
1927M06,1477,..,..,1477
1927M07,1560,..,..,1560
1927M08,1225,..,..,1225
1927M09,1410,..,..,1410
1927M10,1035,..,..,1035
1927M11,836,..,..,836
1927M12,1341,..,..,1341
1928M01,1003,..,..,1003
1928M02,1266,..,..,1266
1928M03,1993,..,..,1993
1928M04,2079,..,..,2079
1928M05,1277,..,..,1277
1928M06,1283,..,..,1283
1928M07,1402,..,..,1402
1928M08,2027,..,..,2027
1928M09,961,..,..,961
1928M10,830,..,..,830
1928M11,743,..,..,743
1928M12,1211,..,..,1211
1929M01,804,..,..,804
1929M02,1257,..,..,1257
1929M03,1932,..,..,1932
1929M04,1610,..,..,1610
1929M05,1735,..,..,1735
1929M06,1344,..,..,1344
1929M07,1190,..,..,1190
1929M08,1098,..,..,1098
1929M09,952,..,..,952
1929M10,786,..,..,786
1929M11,702,..,..,702
1929M12,1204,..,..,1204
1930M01,891,..,..,891
1930M02,1167,..,..,1167
1930M03,1731,..,..,1731
1930M04,1888,..,..,1888
1930M05,1417,..,..,1417
1930M06,1108,..,..,1108
1930M07,1117,..,..,1117
1930M08,745,..,..,745
1930M09,669,..,..,669
1930M10,520,..,..,520
1930M11,443,..,..,443
1930M12,844,..,..,844
1931M01,558,..,..,558
1931M02,702,..,..,702
1931M03,1206,..,..,1206
1931M04,1174,..,..,1174
1931M05,807,..,..,807
1931M06,807,..,..,807
1931M07,589,..,..,589
1931M08,506,..,..,506
